Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/monitoring/dashboard/,203,0,19,21.984435468605316,14.11519999965094,49.443299998529255,151.8177339901478,2.262902171075923,0.0,19,22,27,29,31,35,42,48,49,49,49
POST,/auth/register/,25,0,140,188.43588000163436,130.39520000165794,282.751399994595,105.8,0.2786825333837344,0.0,140,260,260,260,270,280,280,280,280,280,280
POST,/auth/token/,25,0,250,210.24850400048308,126.59509999502916,278.0361000041012,490.6,0.2786825333837344,0.0,250,250,260,270,270,280,280,280,280,280,280
POST,/datasources/,25,0,27,31.426228001364507,14.991799995186739,69.64199998765253,299.8,0.2786825333837344,0.0,27,32,34,37,55,56,70,70,70,70,70
GET,/datasources/?workspace=[id],321,0,17,19.861633021702172,11.708599995472468,110.14599999180064,351.791277258567,3.5782837286471496,0.0,17,20,22,25,31,36,41,49,110,110,110
POST,/pipelines/,25,0,31,30.460328001063317,15.984300000127405,57.08579999918584,419.8,0.2786825333837344,0.0,31,32,32,34,41,45,57,57,57,57,57
GET,/pipelines/?workspace=[id],354,0,18,20.4385225991189,12.011099999654107,77.27660000091419,471.771186440678,3.9461446727136793,0.0,18,21,25,27,30,36,45,51,77,77,77
POST,/pipelines/[id]/run/,55,0,26,32.34207636348649,18.006700003752485,142.88300000771414,309.0,0.6131015734442157,0.0,26,31,34,35,53,76,88,140,140,140,140
GET,/validation/scorecards/?run__pipeline=[id],145,0,17,21.620333103206136,12.07659998908639,144.70299999811687,488.17241379310343,1.6163586936256595,0.0,17,18,21,26,32,37,95,120,140,140,140
POST,/workspaces/,25,0,35,53.813983999425545,15.58570000634063,146.1113999976078,213.0,0.2786825333837344,0.0,35,40,55,140,140,140,150,150,150,150,150
,Aggregated,1203,0,19,29.798044222973637,11.708599995472468,282.751399994595,363.0556940980881,13.4102035064253,0.0,19,23,28,30,37,88,240,260,280,280,280
