TransactionNo,Items,DateTime,Daypart,DayType,Quantity,Price
1,Bread,30-10-2016 09:58,Morning,Weekend,5,35
2,Scandinavian,30-10-2016 10:05,Morning,Weekend,1,43
2,Scandinavian,30-10-2016 10:05,Morning,Weekend,1,43
3,Hot chocolate,30-10-2016 10:07,Morning,Weekend,4,97
3,Jam,30-10-2016 10:07,Morning,Weekend,3,96
3,Cookies,30-10-2016 10:07,Morning,Weekend,3,72
4,Muffin,30-10-2016 10:08,Morning,Weekend,4,71
5,Coffee,30-10-2016 10:13,Morning,Weekend,4,43
5,Pastry,30-10-2016 10:13,Morning,Weekend,4,54
5,Bread,30-10-2016 10:13,Morning,Weekend,5,35
6,Medialuna,30-10-2016 10:16,Morning,Weekend,2,37
6,Pastry,30-10-2016 10:16,Morning,Weekend,3,54
6,Muffin,30-10-2016 10:16,Morning,Weekend,2,71
7,Medialuna,30-10-2016 10:19,Morning,Weekend,2,37
7,Pastry,30-10-2016 10:19,Morning,Weekend,3,54
7,Coffee,30-10-2016 10:19,Morning,Weekend,2,43
7,Tea,30-10-2016 10:19,Morning,Weekend,3,39
8,Pastry,30-10-2016 10:20,Morning,Weekend,3,54
8,Bread,30-10-2016 10:20,Morning,Weekend,4,35
9,Bread,30-10-2016 10:21,Morning,Weekend,3,35
9,Muffin,30-10-2016 10:21,Morning,Weekend,5,71
10,Scandinavian,30-10-2016 10:25,Morning,Weekend,2,43
10,Medialuna,30-10-2016 10:25,Morning,Weekend,2,37
11,Bread,30-10-2016 10:27,Morning,Weekend,2,35
11,Medialuna,30-10-2016 10:27,Morning,Weekend,5,37
11,Bread,30-10-2016 10:27,Morning,Weekend,3,35
12,Jam,30-10-2016 10:30,Morning,Weekend,4,96
12,Coffee,30-10-2016 10:30,Morning,Weekend,3,43
12,Tartine,30-10-2016 10:30,Morning,Weekend,2,80
12,Pastry,30-10-2016 10:30,Morning,Weekend,1,54
12,Tea,30-10-2016 10:30,Morning,Weekend,3,39
13,Basket,30-10-2016 10:31,Morning,Weekend,3,34
13,Bread,30-10-2016 10:31,Morning,Weekend,1,35
13,Coffee,30-10-2016 10:31,Morning,Weekend,4,43
14,Bread,30-10-2016 10:32,Morning,Weekend,1,35
14,Medialuna,30-10-2016 10:32,Morning,Weekend,5,37
14,Pastry,30-10-2016 10:32,Morning,Weekend,2,54
15,Mineral water,30-10-2016 10:34,Morning,Weekend,4,66
15,Scandinavian,30-10-2016 10:34,Morning,Weekend,3,43
16,Bread,30-10-2016 10:37,Morning,Weekend,4,35
16,Medialuna,30-10-2016 10:37,Morning,Weekend,5,37
16,Coffee,30-10-2016 10:37,Morning,Weekend,2,43
17,Hot chocolate,30-10-2016 10:38,Morning,Weekend,5,97
18,Farm House,30-10-2016 10:41,Morning,Weekend,5,52
19,Farm House,30-10-2016 10:43,Morning,Weekend,1,52
19,Bread,30-10-2016 10:43,Morning,Weekend,5,35
20,Bread,30-10-2016 10:45,Morning,Weekend,3,35
20,Medialuna,30-10-2016 10:45,Morning,Weekend,4,37
21,Coffee,30-10-2016 10:49,Morning,Weekend,3,43
21,Coffee,30-10-2016 10:49,Morning,Weekend,1,43
21,Medialuna,30-10-2016 10:49,Morning,Weekend,3,37
21,Bread,30-10-2016 10:49,Morning,Weekend,3,35
22,Jam,30-10-2016 10:52,Morning,Weekend,5,96
23,Scandinavian,30-10-2016 10:53,Morning,Weekend,4,43
23,Muffin,30-10-2016 10:53,Morning,Weekend,5,71
24,Bread,30-10-2016 10:54,Morning,Weekend,2,35
25,Scandinavian,30-10-2016 10:55,Morning,Weekend,1,43
26,Fudge,30-10-2016 10:56,Morning,Weekend,5,42
27,Scandinavian,30-10-2016 11:02,Morning,Weekend,3,43
28,Coffee,30-10-2016 11:03,Morning,Weekend,3,43
28,Bread,30-10-2016 11:03,Morning,Weekend,1,35
29,Bread,30-10-2016 11:05,Morning,Weekend,3,35
29,Jam,30-10-2016 11:05,Morning,Weekend,3,96
30,Bread,30-10-2016 11:07,Morning,Weekend,2,35
31,Basket,30-10-2016 11:12,Morning,Weekend,4,34
32,Scandinavian,30-10-2016 11:16,Morning,Weekend,3,43
32,Muffin,30-10-2016 11:16,Morning,Weekend,1,71
33,Coffee,30-10-2016 11:22,Morning,Weekend,1,43
34,Coffee,30-10-2016 11:25,Morning,Weekend,1,43
34,Muffin,30-10-2016 11:25,Morning,Weekend,2,71
35,Muffin,30-10-2016 11:27,Morning,Weekend,4,71
35,Scandinavian,30-10-2016 11:27,Morning,Weekend,3,43
36,Tea,30-10-2016 11:33,Morning,Weekend,4,39
36,Bread,30-10-2016 11:33,Morning,Weekend,3,35
